modifier_and_type,method,description
staticBoolean,FALSE,"TheBooleanobject corresponding to the primitive
 valuefalse."
staticBoolean,TRUE,"TheBooleanobject corresponding to the primitive
 valuetrue."
staticClass<Boolean>,TYPE,The Class object representing the primitive type boolean.
boolean,booleanValue(),"Returns the value of thisBooleanobject as a boolean
 primitive."
static int,"compare(boolean x,
       boolean y)",Compares twobooleanvalues.
int,compareTo(Booleanb),Compares thisBooleaninstance with another.
boolean,equals(Objectobj),"Returnstrueif and only if the argument is notnulland is aBooleanobject that
 represents the samebooleanvalue as this object."
static boolean,getBoolean(Stringname),"Returnstrueif and only if the system property
 named by the argument exists and is equal to the string""true""."
int,hashCode(),Returns a hash code for thisBooleanobject.
static int,hashCode(boolean value),Returns a hash code for abooleanvalue; compatible withBoolean.hashCode().
static boolean,"logicalAnd(boolean a,
          boolean b)","Returns the result of applying the logical AND operator to the
 specifiedbooleanoperands."
static boolean,"logicalOr(boolean a,
         boolean b)","Returns the result of applying the logical OR operator to the
 specifiedbooleanoperands."
static boolean,"logicalXor(boolean a,
          boolean b)","Returns the result of applying the logical XOR operator to the
 specifiedbooleanoperands."
static boolean,parseBoolean(Strings),Parses the string argument as a boolean.
String,toString(),"Returns aStringobject representing this Boolean's
 value."
staticString,toString(boolean b),"Returns aStringobject representing the specified
 boolean."
staticBoolean,valueOf(boolean b),Returns aBooleaninstance representing the specifiedbooleanvalue.
staticBoolean,valueOf(Strings),"Returns aBooleanwith a value represented by the
 specified string."
