modifier_and_type,method,description
static class,Character.Subset,"Instances of this class represent particular subsets of the Unicode
 character set."
static class,Character.UnicodeBlock,"A family of character subsets representing the character blocks in the
 Unicode specification."
static class,Character.UnicodeScript,"A family of character subsets representing the character scripts
 defined in theUnicode Standard Annex #24: Script Names."
static int,BYTES,"The number of bytes used to represent acharvalue in unsigned
 binary form."
static byte,COMBINING_SPACING_MARK,"General category ""Mc"" in the Unicode specification."
static byte,CONNECTOR_PUNCTUATION,"General category ""Pc"" in the Unicode specification."
static byte,CONTROL,"General category ""Cc"" in the Unicode specification."
static byte,CURRENCY_SYMBOL,"General category ""Sc"" in the Unicode specification."
static byte,DASH_PUNCTUATION,"General category ""Pd"" in the Unicode specification."
static byte,DECIMAL_DIGIT_NUMBER,"General category ""Nd"" in the Unicode specification."
static byte,DIRECTIONALITY_ARABIC_NUMBER,"Weak bidirectional character type ""AN"" in the Unicode specification."
static byte,DIRECTIONALITY_BOUNDARY_NEUTRAL,"Weak bidirectional character type ""BN"" in the Unicode specification."
static byte,DIRECTIONALITY_COMMON_NUMBER_SEPARATOR,"Weak bidirectional character type ""CS"" in the Unicode specification."
static byte,DIRECTIONALITY_EUROPEAN_NUMBER,"Weak bidirectional character type ""EN"" in the Unicode specification."
static byte,DIRECTIONALITY_EUROPEAN_NUMBER_SEPARATOR,"Weak bidirectional character type ""ES"" in the Unicode specification."
static byte,DIRECTIONALITY_EUROPEAN_NUMBER_TERMINATOR,"Weak bidirectional character type ""ET"" in the Unicode specification."
static byte,DIRECTIONALITY_LEFT_TO_RIGHT,"Strong bidirectional character type ""L"" in the Unicode specification."
static byte,DIRECTIONALITY_LEFT_TO_RIGHT_EMBEDDING,"Strong bidirectional character type ""LRE"" in the Unicode specification."
static byte,DIRECTIONALITY_LEFT_TO_RIGHT_OVERRIDE,"Strong bidirectional character type ""LRO"" in the Unicode specification."
static byte,DIRECTIONALITY_NONSPACING_MARK,"Weak bidirectional character type ""NSM"" in the Unicode specification."
static byte,DIRECTIONALITY_OTHER_NEUTRALS,"Neutral bidirectional character type ""ON"" in the Unicode specification."
