modifier_and_type,method,description
static double,E,"Thedoublevalue that is closer than any other toe, the base of the natural logarithms."
static double,PI,"Thedoublevalue that is closer than any other topi, the ratio of the circumference of a circle to its
 diameter."
static double,abs(double a),Returns the absolute value of adoublevalue.
static float,abs(float a),Returns the absolute value of afloatvalue.
static int,abs(int a),Returns the absolute value of anintvalue.
static long,abs(long a),Returns the absolute value of alongvalue.
static double,acos(double a),"Returns the arc cosine of a value; the returned angle is in the
 range 0.0 throughpi."
static int,"addExact(int x,
        int y)","Returns the sum of its arguments,
 throwing an exception if the result overflows anint."
static long,"addExact(long x,
        long y)","Returns the sum of its arguments,
 throwing an exception if the result overflows along."
static double,asin(double a),"Returns the arc sine of a value; the returned angle is in the
 range -pi/2 throughpi/2."
static double,atan(double a),"Returns the arc tangent of a value; the returned angle is in the
 range -pi/2 throughpi/2."
static double,"atan2(double y,
     double x)","Returns the anglethetafrom the conversion of rectangular
 coordinates (x,y) to polar
 coordinates (r,theta)."
static double,cbrt(double a),Returns the cube root of adoublevalue.
static double,ceil(double a),"Returns the smallest (closest to negative infinity)doublevalue that is greater than or equal to the
 argument and is equal to a mathematical integer."
static double,"copySign(double magnitude,
        double sign)","Returns the first floating-point argument with the sign of the
 second floating-point argument."
static float,"copySign(float magnitude,
        float sign)","Returns the first floating-point argument with the sign of the
 second floating-point argument."
static double,cos(double a),Returns the trigonometric cosine of an angle.
static double,cosh(double x),Returns the hyperbolic cosine of adoublevalue.
static int,decrementExact(int a),"Returns the argument decremented by one, throwing an exception if the
 result overflows anint."
static long,decrementExact(long a),"Returns the argument decremented by one, throwing an exception if the
 result overflows along."
static double,exp(double a),Returns Euler's numbereraised to the power of adoublevalue.
static double,expm1(double x),Returnsex-1.
static double,floor(double a),"Returns the largest (closest to positive infinity)doublevalue that is less than or equal to the
 argument and is equal to a mathematical integer."
static int,"floorDiv(int x,
        int y)",Returns the largest (closest to positive infinity)intvalue that is less than or equal to the algebraic quotient.
static long,"floorDiv(long x,
        long y)",Returns the largest (closest to positive infinity)longvalue that is less than or equal to the algebraic quotient.
static int,"floorMod(int x,
        int y)",Returns the floor modulus of theintarguments.
static long,"floorMod(long x,
        long y)",Returns the floor modulus of thelongarguments.
static int,getExponent(double d),Returns the unbiased exponent used in the representation of adouble.
static int,getExponent(float f),Returns the unbiased exponent used in the representation of afloat.
static double,"hypot(double x,
     double y)","Returns sqrt(x2+y2)
 without intermediate overflow or underflow."
static double,"IEEEremainder(double f1,
             double f2)","Computes the remainder operation on two arguments as prescribed
 by the IEEE 754 standard."
static int,incrementExact(int a),"Returns the argument incremented by one, throwing an exception if the
 result overflows anint."
static long,incrementExact(long a),"Returns the argument incremented by one, throwing an exception if the
 result overflows along."
static double,log(double a),Returns the natural logarithm (basee) of adoublevalue.
static double,log10(double a),Returns the base 10 logarithm of adoublevalue.
static double,log1p(double x),Returns the natural logarithm of the sum of the argument and 1.
static double,"max(double a,
   double b)",Returns the greater of twodoublevalues.
static float,"max(float a,
   float b)",Returns the greater of twofloatvalues.
static int,"max(int a,
   int b)",Returns the greater of twointvalues.
