modifier_and_type,method,description
StringBuilder,append(boolean b),Appends the string representation of thebooleanargument to the sequence.
StringBuilder,append(char c),Appends the string representation of thecharargument to this sequence.
StringBuilder,append(char[] str),"Appends the string representation of thechararray
 argument to this sequence."
StringBuilder,"append(char[] str,
      int offset,
      int len)",Appends the string representation of a subarray of thechararray argument to this sequence.
StringBuilder,append(CharSequences),Appends the specified character sequence to thisAppendable.
StringBuilder,"append(CharSequences,
      int start,
      int end)","Appends a subsequence of the specifiedCharSequenceto this
 sequence."
StringBuilder,append(double d),Appends the string representation of thedoubleargument to this sequence.
StringBuilder,append(float f),Appends the string representation of thefloatargument to this sequence.
StringBuilder,append(int i),Appends the string representation of theintargument to this sequence.
StringBuilder,append(long lng),Appends the string representation of thelongargument to this sequence.
StringBuilder,append(Objectobj),Appends the string representation of theObjectargument.
StringBuilder,append(Stringstr),Appends the specified string to this character sequence.
StringBuilder,append(StringBuffersb),Appends the specifiedStringBufferto this sequence.
StringBuilder,appendCodePoint(int codePoint),Appends the string representation of thecodePointargument to this sequence.
int,capacity(),Returns the current capacity.
char,charAt(int index),Returns thecharvalue in this sequence at the specified index.
int,codePointAt(int index),"Returns the character (Unicode code point) at the specified
 index."
int,codePointBefore(int index),"Returns the character (Unicode code point) before the specified
 index."
int,"codePointCount(int beginIndex,
              int endIndex)","Returns the number of Unicode code points in the specified text
 range of this sequence."
StringBuilder,"delete(int start,
      int end)",Removes the characters in a substring of this sequence.
StringBuilder,deleteCharAt(int index),"Removes thecharat the specified position in this
 sequence."
void,ensureCapacity(int minimumCapacity),Ensures that the capacity is at least equal to the specified minimum.
void,"getChars(int srcBegin,
        int srcEnd,
        char[] dst,
        int dstBegin)","Characters are copied from this sequence into the
 destination character arraydst."
int,indexOf(Stringstr),"Returns the index within this string of the first occurrence of the
 specified substring."
int,"indexOf(Stringstr,
       int fromIndex)","Returns the index within this string of the first occurrence of the
 specified substring, starting at the specified index."
StringBuilder,"insert(int offset,
      boolean b)",Inserts the string representation of thebooleanargument into this sequence.
StringBuilder,"insert(int offset,
      char c)",Inserts the string representation of thecharargument into this sequence.
StringBuilder,"insert(int offset,
      char[] str)","Inserts the string representation of thechararray
 argument into this sequence."
StringBuilder,"insert(int index,
      char[] str,
      int offset,
      int len)",Inserts the string representation of a subarray of thestrarray argument into this sequence.
StringBuilder,"insert(int dstOffset,CharSequences)",Inserts the specifiedCharSequenceinto this sequence.
StringBuilder,"insert(int dstOffset,CharSequences,
      int start,
      int end)","Inserts a subsequence of the specifiedCharSequenceinto
 this sequence."
StringBuilder,"insert(int offset,
      double d)",Inserts the string representation of thedoubleargument into this sequence.
StringBuilder,"insert(int offset,
      float f)",Inserts the string representation of thefloatargument into this sequence.
StringBuilder,"insert(int offset,
      int i)",Inserts the string representation of the secondintargument into this sequence.
StringBuilder,"insert(int offset,
      long l)",Inserts the string representation of thelongargument into this sequence.
StringBuilder,"insert(int offset,Objectobj)",Inserts the string representation of theObjectargument into this character sequence.
StringBuilder,"insert(int offset,Stringstr)",Inserts the string into this character sequence.
int,lastIndexOf(Stringstr),"Returns the index within this string of the rightmost occurrence
 of the specified substring."
int,"lastIndexOf(Stringstr,
           int fromIndex)","Returns the index within this string of the last occurrence of the
 specified substring."
int,length(),Returns the length (character count).
int,"offsetByCodePoints(int index,
                  int codePointOffset)","Returns the index within this sequence that is offset from the
 givenindexbycodePointOffsetcode
 points."
StringBuilder,"replace(int start,
       int end,Stringstr)","Replaces the characters in a substring of this sequence
 with characters in the specifiedString."
StringBuilder,reverse(),"Causes this character sequence to be replaced by the reverse of
 the sequence."
void,"setCharAt(int index,
         char ch)",The character at the specified index is set toch.
void,setLength(int newLength),Sets the length of the character sequence.
CharSequence,"subSequence(int start,
           int end)",Returns a new character sequence that is a subsequence of this sequence.
String,substring(int start),"Returns a newStringthat contains a subsequence of
 characters currently contained in this character sequence."
String,"substring(int start,
         int end)","Returns a newStringthat contains a subsequence of
 characters currently contained in this sequence."
String,toString(),Returns a string representing the data in this sequence.
void,trimToSize(),Attempts to reduce storage used for the character sequence.
