modifier_and_type,method,description
boolean,add(Ee),Adds the specified element to this set if it is not already present.
boolean,addAll(Collection<? extendsE> c),Adds all of the elements in the specified collection to this set.
E,ceiling(Ee),"Returns the least element in this set greater than or equal to
 the given element, ornullif there is no such element."
void,clear(),Removes all of the elements from this set.
Object,clone(),Returns a shallow copy of thisTreeSetinstance.
Comparator<? superE>,comparator(),"Returns the comparator used to order the elements in this set,
 ornullif this set uses thenatural orderingof its elements."
boolean,contains(Objecto),Returnstrueif this set contains the specified element.
Iterator<E>,descendingIterator(),Returns an iterator over the elements in this set in descending order.
NavigableSet<E>,descendingSet(),Returns a reverse order view of the elements contained in this set.
E,first(),Returns the first (lowest) element currently in this set.
E,floor(Ee),"Returns the greatest element in this set less than or equal to
 the given element, ornullif there is no such element."
SortedSet<E>,headSet(EtoElement),"Returns a view of the portion of this set whose elements are
 strictly less thantoElement."
NavigableSet<E>,"headSet(EtoElement,
       boolean inclusive)","Returns a view of the portion of this set whose elements are less than
 (or equal to, ifinclusiveis true)toElement."
E,higher(Ee),"Returns the least element in this set strictly greater than the
 given element, ornullif there is no such element."
boolean,isEmpty(),Returnstrueif this set contains no elements.
Iterator<E>,iterator(),Returns an iterator over the elements in this set in ascending order.
E,last(),Returns the last (highest) element currently in this set.
E,lower(Ee),"Returns the greatest element in this set strictly less than the
 given element, ornullif there is no such element."
E,pollFirst(),"Retrieves and removes the first (lowest) element,
 or returnsnullif this set is empty."
E,pollLast(),"Retrieves and removes the last (highest) element,
 or returnsnullif this set is empty."
boolean,remove(Objecto),Removes the specified element from this set if it is present.
int,size(),Returns the number of elements in this set (its cardinality).
Spliterator<E>,spliterator(),"Creates alate-bindingandfail-fastSpliteratorover the elements in this
 set."
NavigableSet<E>,"subSet(EfromElement,
      boolean fromInclusive,EtoElement,
      boolean toInclusive)",Returns a view of the portion of this set whose elements range fromfromElementtotoElement.
SortedSet<E>,"subSet(EfromElement,EtoElement)","Returns a view of the portion of this set whose elements range
 fromfromElement, inclusive, totoElement,
 exclusive."
SortedSet<E>,tailSet(EfromElement),"Returns a view of the portion of this set whose elements are
 greater than or equal tofromElement."
NavigableSet<E>,"tailSet(EfromElement,
       boolean inclusive)","Returns a view of the portion of this set whose elements are greater
 than (or equal to, ifinclusiveis true)fromElement."
